pmid,pmcid,doi,year,journal,title,citation_count,rcr,ucd_affiliation_detected
29625033,PMC5911935,10.1016/j.molcel.2018.03.009,2018,Molecular cell,Galectins Control mTOR in Response to Endomembrane Damage.,235,8.094741337305118,True
29155854,PMC5695823,10.1371/journal.pone.0188105,2017,PloS one,Profiling of proteins secreted in the bovine oviduct reveals diverse functions of this luminal microenvironment.,51,2.6972154084356013,True
28925267,,10.1021/acs.jproteome.7b00486,2017,Journal of proteome research,Absolute Quantification of Human Milk Caseins and the Whey/Casein Ratio during the First Year of Lactation.,74,3.731072820555475,True
28951887,PMC5605880,10.1128/mSystems.00027-17,2017,mSystems,Proteomes ofsubsp.LBB.B5 Incubated in Milk at Optimal and Low Temperatures.,10,0.6003136091592752,True
28648685,PMC5567846,10.1016/j.jprot.2017.06.017,2017,Journal of proteomics,Proteomic profiling of Pachyonychia congenita plantar callus.,12,0.45174685866684144,True
28544375,PMC5540574,10.1002/pmic.201600462,2017,Proteomics,Proteomic analysis of hair shafts from monozygotic twins: Expression profiles and genetically variant peptides.,29,1.5447854625432345,True
28049629,PMC5862279,10.1093/carcin/bgw205,2017,Carcinogenesis,Integrated Metabolomics and Proteomics Highlight Altered Nicotinamide- and Polyamine Pathways in Lung Adenocarcinoma.,68,2.4831383497127737,True
27979737,,10.1016/j.peptides.2016.11.012,2016,Peptides,In vivo digestomics of milk proteins in human milk and infant formula using a suckling rat pup model.,27,1.8673096035464185,True
27852951,PMC5210739,10.1104/pp.16.01404,2016,Plant physiology,A Cysteine-Rich Protein Kinase Associates with a Membrane Immune Complex and the Cysteine Residues Are Required for Cell Death.,107,4.308249390573039,True
27784770,PMC5135029,10.1212/WNL.0000000000003391,2016,Neurology,Gram-negative bacterial molecules associate with Alzheimer disease pathology.,400,15.369061343433172,True
27799870,PMC5084393,10.1186/s12014-016-9132-y,2016,Clinical proteomics,"Proteomic profiling of lung adenocarcinoma indicates heightened DNA repair, antioxidant mechanisms and identifies LASP1 as a potential negative predic",33,1.1379054473311925,True
27603779,PMC5014411,10.1371/journal.pone.0160653,2016,PloS one,Demonstration of Protein-Based Human Identification Using the Hair Shaft Proteome.,77,3.4630078360180807,True
26148687,,10.1021/acs.jproteome.5b00387,2015,Journal of proteome research,"Lactobacillus casei Low-Temperature, Dairy-Associated Proteome Promotes Persistence in the Mammalian Digestive Tract.",14,0.6552976391628513,True
26193921,PMC4509060,10.1167/iovs.15-16739,2015,Investigative ophthalmology & visual science,"Dexamethasone Stiffens Trabecular Meshwork, Trabecular Meshwork Cells, and Matrix.",143,5.816092074481164,True
30882039,PMC6419775,10.1021/ab500060r,2015,ACS biomaterials science & engineering,Transforming Growth Factor Beta 3 Modifies Mechanics and Composition of Extracellular Matrix Deposited by Human Trabecular Meshwork Cells.,29,1.0808852620183902,True
25338220,PMC4286167,10.1021/pr500818d,2014,Journal of proteome research,The human colostrum whey proteome is altered in gestational diabetes mellitus.,33,1.5342606228221027,True
25169930,PMC4245816,10.1093/molbev/msu251,2014,Molecular biology and evolution,Evolutionary origin and diversification of epidermal barrier proteins in amniotes.,114,3.5358901769556423,True
25086045,PMC4176208,10.1074/jbc.M114.601153,2014,The Journal of biological chemistry,Regulation of Yersinia protein kinase A (YpkA) kinase activity by multisite autophosphorylation and identification of an N-terminal substrate-binding ,10,0.28975534404105424,True
25165623,PMC4137660,10.7717/peerj.506,2014,PeerJ,"Human hair shaft proteomic profiling: individual differences, site specificity and cuticle analysis.",45,1.7037705801877396,True
24548633,PMC4075482,10.1016/j.lfs.2014.02.004,2014,Life sciences,Mitochondrial proteome remodeling in ischemic heart failure.,33,0.9981578222053024,True
22537066,PMC3431436,10.1021/bc300114d,2012,Bioconjugate chemistry,Enhancing peptide ligand binding to vascular endothelial growth factor by covalent bond formation.,12,0.3399621107729718,True
20808644,PMC2922831,,2010,Journal of biomolecular techniques : JBT,A comparative study of in-gel digestions using microwave and pressure-accelerated technologies.,11,0.27631546307598603,True
17854217,,10.1021/pr070234i,2007,Journal of proteome research,Shotgun cross-linking analysis for studying quaternary and tertiary protein structures.,52,1.0957095171388984,True
